Name,CR
مؤسسة الأهرام الحديدية لمواد البناء,1010813383
YFZ Co Ltd for elevators and escalators,4030221447
Bildnw Trading Co.,2029781123
شركة الجودة لصناعة السيراميك,1010138389
Al Bawardi Building Materials Co,1010462935
Arab Engineering Industries & Design Co.,1010339488
شركة عبر الخليج للخرسانة الجاهزة transgulf readymix concrete co.,1010342736
شركة الخلطات الجافة للصناعة,1010267718
شركة ارام الخليج للتجارة,1010633066
معرض اثار الصور للسيارات,2057472733
شركة بيت التطور للتجارة ( شركة شخص واحد ),1010148923
مصنع البراك لأبواب الكراجات فرع شركة مجموعة البراك للتجارة والصناعة,1006386849
Smart Controls Systems Contracting Co. LTd,1010264746
SACEP AND CONSTRUCT CO LTD,1010012238
Tasami LTD,1010756719
شركة طريق العبور للإسفلت والزيوت,1010243379
مؤسسة أحمد محمد المصيريعي للتجارة,1010467080
ابها العمار للتجارة,1010373747
شركة ابراج المدن للتجارة,1010460313
مؤسسة صلب وحديد للتجارة,1010658596
Aseel Alriyadh est,5904036911
مصنع اجيج لصناعة الصلب و مشتقاتة,1011016123
شركة عالم التطور العربي التجارية,1010298801
SULTAN MOHAMMAD AL YAMI TRADING EST.,1010044485
Afaq Al Malaz Trading Co. Ltd.,7009164877
شركة شهامة الخليج للتجارة,1010276993
مؤسسة اسس الطرق للمقاولات العامه,1010735302
شركة المنيوم التيسير تالكو مساهمة مقفلة,7001800213
Air Conditioning Masters Company,1010329497
hadania corp,1081250340
مؤسسة بن غازي للمقاولات,1010066006
Dalba industrial cement products,1010450783
DLTA ALSHARY LLTJART COMPANY,1010779941
ثلاية الخليج,4030324581
شركة بروج العربية للتجارة,1010855147
Metals Dana Trad. Co,1010432015
مؤسسة نفوذ الخرخير التجارية,2051060017
مؤسسة ليان نجد للتجارة,1010648227
مؤسسة زينب راشد المطيري للتجارة,1010614715
شركة وتمة العالمية,1010412214
شركة الخرسانة الموحدة للخرسانة الجاهزة المحدودة,1010294569
شركة انطلاق الأفق للمقاولات,1010231303
مستقبل الحديد للتجارة,1010377892
شركة أركان التجديد للتجارة,7027170773
شركة عالم الرواد الخليجي للتجارة,1010509344
شركة اتحاد المعادن,1010436292
شركة اسطورة التطوير للمقاولات,1010343401
جسر الاخشاب للنجارة والديكور,4032244333
Al Abdulkarim Holding Company,2050003048
شركة الراجحي للصناعة والتجارة الوقفية,1010058796
دوائر الشرق للمقاولات,1010234071
SAUD AL-SAUDI EST.,1128019065
شركة ركائز الحديد المحدوده,1010935139
شركة إنذار للتشغيل والصيانة المحدودة,1010170199
مصنع دانيا لفتحات التكييف,1010059813
شركة صلابة المثبتات للتجارة,4030218274
مؤسسة تراث الامارات للتجارة,1010479352
شركة مصنع برني للالمنيوم والمعادن,1010334610
مؤسسة جويعد مساعد الحارثى التجارية,1010402984
شركه باس للحديد,1010647442
دانة جود للتجارة,1010744211
إجادة الأعمال لطاقة,2050121162
شركة انجازات البلاد للصناعة,1010224693
شركة رونق الاعمار للمقاولات,5901008400
شركة أرض الطاقة الشمسية المحدودة,4030547721
بوان للصناعات المعدنيه,2050030855
شركة الشرق للخرسانة الجاهزة,1010252403
شركة حديد البنيان للصناعة,1234567890
شركة اليان للصناعة,1010442592
شركة ملاءة للمقاولات,1010608097
شركة أساس الخدمة للتشغيل والصيانة,1010743937
شركة مجموعة التيسير تالكو,1010009737
شركة سهول الوفاء للتجارة,1010180025
elbow fifty four trading co,1010343060
مؤسسة ريم علي عبدالرحيم المالكي للمقاولات العامه,4031078525
شركة بناء البلد للتجارة,1010708934
شركة اجواء الصناعيه للاناره,2050105495
شركة مصنع طرق الكهرباء,1010267178
موسسة بنان الشرق للمقاولات العامة,2251031715
شركة تكامل الخليجيه,1010772242
شركة جبوري للمقاولات,1010747438
مؤسسه القارات الكهربائيه للتجارة,1010334569
مصنع ماجد محمد العضيب,7002788573
Green Vision Co. Ltd. For Artificial Grass,4030160898
Madar Building Materials Co. LTD,2051030458
شركة سما العالمية للمقاولات,1010669881
أوائل النخبة,2050042694
الشركة الصناعية للسكب والأدوات الصحية,1010006206
شركة تبراك نجد للمقاولات,1010578794
فرع شركة عبد الجليل عبد الحميد وشريكه للمقاولات,1010255158
شركة ودفا الصناعية,1010843022
مؤسسة توصيلات الوسطى التجارية,1010828705
شركة تنفيذ,1010307434
Alpha Limit Trading and Contracting,1010621251
شركه معارض الخريجي,1010070308
مؤسسة روائع الجود للمقاولات,1010785119
شركة ركن المعدن للحدادة والالمنيوم,1010617146
مؤسسة الهرم الحديث التجارية,5950016618
مؤسسة معالي الطائف للمقاولات العامة,4032250150
شركة سور اليمامة للمقاولات,7007948236
شركة الريف المتكاملة للتجارة,4030292416
مصدر,1010136285
Electrical Care Services Factory Co.,4030225352
شركة فولاذ الخليج للتجارة,1010667317
شركه بيت الكهرباء للتجارة شركه شخص واحد,4030008481
مؤسسة الواحه السعوديه للتكييف,1010112346
شركة شفق البنيان للتجارة,1010541080
شركة الابتهاج للمقاولات شركة شخص واحد,1045367081
شركة غاية الشرقيه لتقنية المعلومات,2050116543
ARGORA GLOBAL TRADING COMPANY,1010175062
شركة ركن التنمبة للتجارة,1010632872
مؤسسة اللؤلؤ المنثور للمقاولات,3452011018
